订阅月费：$0–30（含 $30）
订阅额度总览 · 套餐 × 实际服务模型
默认月 = 4 周，Kimi独立月池 = 周池×5；饱和使用；全口径 token；按量 API 无月额度
同套餐各模型额度不可相加。Claude Max (9/14+)：2026-09-14起永久额度估算，非当前活动期上限。数据：adopted.csv。
颜色 = 套餐/API 提供方；置信度 [H] 高 / [M] 中 / [L] 低；编号为排序序号，同值依次列出，不代表模型能力排名。
† Kimi：¥199的K3点以K3-256K为主，约84%反推周池×5得14.51亿；K2.7纯样本11.9M/月0.76%得15.68亿；其余档按官方倍率推算；同名档国内外并点，月费/单价按国际版美元标价（$19/$39/$99），¥价为国内实付。OpenCode Go按官方美元池和三段价套统一标准负载换算。
汇率：1 USD = 6.7787 CNY（2026-09-04，中国外汇交易中心中间价，新华社转载）；人民币月费 ÷ 汇率换算美元（Kimi 同名并点档除外，按国际版美元标价）。
汇率来源：https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
序号  套餐                               价格/月          服务模型                      月额度(亿)  $/MTok   置信度
106   Command Code GOAT                  USD 10           Step 3.7 Flash                4.036       0.02478  medium
107   MiMo Token Plan Lite 夜间0.8×      ¥39（国际 $6）   MiMo V2.6 Pro                 3.97        0.01511  medium
108   MiMo Token Plan Lite 夜间0.8×      ¥39（国际 $6）   MiMo V2.5 Pro                 3.97        0.01511  medium
109   Command Code GOAT                  USD 10           Qwen3.7 Plus                  3.452       0.02897  medium
110   MiMo Token Plan Lite 日间          ¥39（国际 $6）   MiMo V2.6 Pro                 3.17        0.01893  medium
111   MiMo Token Plan Lite 日间          ¥39（国际 $6）   MiMo V2.5 Pro                 3.17        0.01893  medium
112   OpenCode Go                        USD 10           DeepSeek V4 Pro               3.142       0.03183  medium
113   Kimi 会员 99 (v1) †                ¥99（国际 $19）  Kimi K2.7 Code                3.14        0.06051  medium
114   GLM Coding Lite (v3 ¥118) 中间值   CNY 118          GLM 5.3                       3.09        0.05633  high
115   GLM Coding Lite (v2 ¥49) 中间值    CNY 49           GLM 5.3                       3.09        0.02339  high
116   OpenCode Go                        USD 10           Kimi K2.6                     3.016       0.03316  medium
117   Kimi 会员 99 (v1) †                ¥99（国际 $19）  Kimi K3                       2.9         0.06552  medium
118   Step Plan Mini (¥49)               CNY 49           Step 5 Preview                2.832       0.02552  medium
119   Command Code GOAT                  USD 10           MiniMax M2.7                  2.789       0.03586  medium
120   Command Code GOAT                  USD 10           Hy4 Preview                   2.699       0.03705  medium
121   Command Code GOAT                  USD 10           Qwen3.6 Plus                  2.651       0.03772  medium
122   OpenCode Go                        USD 10           Kimi K2.7 Code                2.631       0.03801  medium
123   Command Code GOAT                  USD 10           Kimi K2.7 Code                2.631       0.03801  medium
124   Ollama Pro                         USD 20           Kimi K2.7 Code                2.631       0.07602  medium
125   Command Code GOAT                  USD 10           DeepSeek V4 Flash Fast        2.574       0.03885  medium
126   Ollama Pro                         USD 20           GLM 5.1                       2.553       0.07834  medium
127   Command Code GOAT                  USD 10           Step 5 Preview                2.299       0.0435   medium
128   Command Code GOAT                  USD 10           glm-5.3-flashx                2.266       0.04413  medium
129   Command Code GOAT                  USD 10           GLM 5.2                       2.264       0.04417  medium
130   GLM Coding Lite (v3 ¥118) 忙时     CNY 118          GLM 5.3                       2.06        0.0845   high
131   GLM Coding Lite (v2 ¥49) 忙时      CNY 49           GLM 5.3                       2.06        0.03509  high
132   阿里云百炼 Coding Plan Pro         CNY 200          Qwen3.7 Plus                  1.98        0.14901  medium
133   OpenCode Go                        USD 10           GLM 5.2                       1.94        0.05155  medium
134   OpenCode Go                        USD 10           GLM 5.1                       1.94        0.05155  medium
135   Ollama Pro                         USD 20           GLM 5.3                       1.94        0.10309  medium
136   Ollama Pro                         USD 20           GLM 5.2                       1.94        0.10309  medium
137   Command Code GOAT                  USD 10           Gemini 3.8 Flash              1.814       0.05513  medium
138   Command Code GOAT                  USD 10           Gemini 3.7 Flash              1.814       0.05513  medium
