Effective token price | Subscriptions and APIs compared
Dollar/credit and API rates use 97.5% cache / 2.15% input / 0.35% output; direct total-token measurements are not normalized
Allowances within a plan are not additive. Claude Max (9/14+): estimated permanent allowances from 2026-09-14, not current boosted limits. Source: adopted.csv.
Color = plan/API provider; confidence [H] high / [M] medium / [L] low; numbers indicate row order, not model capability. Ties listed sequentially.
† Kimi: CNY199 K3 uses a K3-256K-dominant / ~84% weekly sample ×5 = 1.451B; pure K2.7 uses 11.9M / 0.76% = 1.568B. Other tiers are scaled by official ratios. Same-name CN/global tiers are merged; fee and unit price use the international USD list ($19/$39/$99), ¥ is the domestic list price. OpenCode Go uses official dollar pools and rates under the standard workload.
FX: 1 USD = 6.7787 CNY (2026-09-04, CFETS central parity, via Xinhua); CNY monthly fees divided by this rate (merged same-name Kimi tiers use the international USD list instead).
FX source: https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
No.  Plan                                   Monthly fee     Served model                Monthly tokens (B)  USD/MTok  Confidence
112  MiniMax Token Plan Plus (Global)       USD 22          MiniMax M3                  1.7                 0.01294   high
113  MiniMax Token Plan Plus (Global)       USD 22          MiniMax M2.7                1.7                 0.01294   medium
114  MiMo Token Plan Max (Day)              $100 · CN ¥659  MiMo V2.6 Pro               7.463               0.0134    medium
115  MiMo Token Plan Max (Day)              $100 · CN ¥659  MiMo V2.5 Pro               7.463               0.0134    medium
116  MiniMax Token Plan Ultra (Global)      USD 132         MiniMax M3                  9.8                 0.01347   high
117  GLM Coding Lite (v3 ¥118) Off-peak     CNY 118         GLM 5.3 Flash               1.283               0.01357   high
118  GLM Coding Pro (v3 ¥538) Midpoint      CNY 538         GLM 5.3 Flash               5.774               0.01375   high
119  DeepSeek V4 Flash API Off-peak         Pay-as-you-go   DeepSeek V4 Flash           -                   0.01386   high
120  Command Code GOAT                      USD 10          GPT 5.6 Luna                0.7143              0.014     medium
121  Ollama Pro                             USD 20          DeepSeek V4 Pro             1.4094              0.01419   medium
122  Ollama Max                             USD 100         DeepSeek V4 Pro             7.0472              0.01419   medium
123  MiMo Token Plan Pro (Day)              $50 · CN ¥329   MiMo V2.6 Pro               3.458               0.01446   medium
124  MiMo Token Plan Pro (Day)              $50 · CN ¥329   MiMo V2.5 Pro               3.458               0.01446   medium
125  Command Code GOAT                      USD 10          MiniMax M3                  0.6797              0.01471   medium
126  ChatGPT Pro 20x                        USD 200         GPT 5.6 Sol                 12.902              0.0155    high
127  GLM Coding Max (v2 ¥469) Midpoint      CNY 469         GLM 5.3                     4.445               0.01557   high
128  MiMo V2.6 Pro API                      Pay-as-you-go   MiMo V2.6 Pro               -                   0.01591   high
129  MiMo Token Plan Standard (Day)         $16 · CN ¥99    MiMo V2.6 Pro               1.001               0.01598   medium
130  MiMo Token Plan Standard (Day)         $16 · CN ¥99    MiMo V2.5 Pro               1.001               0.01598   medium
131  MiMo Token Plan Lite (Day)             $6 · CN ¥39     MiMo V2.6 Pro               0.373               0.01609   medium
132  MiMo Token Plan Lite (Day)             $6 · CN ¥39     MiMo V2.5 Pro               0.373               0.01609   medium
133  DeepSeek V4.1 Flash API Peak           Pay-as-you-go   DeepSeek V4.1 Flash         -                   0.0165    high
134  Cursor Pro (Standard)                  USD 20          Composer 2.5                1.2084              0.01655   medium
135  ChatGPT Plus                           USD 20          GPT 5.6 Terra               1.2012              0.01665   medium
136  ChatGPT Pro 5x                         USD 100         GPT 5.6 Terra               6.006               0.01665   medium
137  GLM Coding Lite (v2 ¥49) Off-peak      CNY 49          GLM 5.3                     0.423               0.01709   high
138  GLM Coding Pro (v2 ¥149) Peak          CNY 149         GLM 5.3                     1.27                0.01731   high
139  GLM Coding Max (v3 ¥1078) Peak         CNY 1078        GLM 5.3 Flash               8.982               0.01771   high
140  GLM Coding Lite (v3 ¥118) Midpoint     CNY 118         GLM 5.3 Flash               0.962               0.0181    high
141  OpenCode Go                            USD 10          GPT 5.6 Luna                0.5357              0.01867   medium
142  ChatGPT Pro 20x                        USD 200         GPT 5.5                     10.0636             0.01987   medium
143  GLM Coding Pro (v3 ¥538) Peak          CNY 538         GLM 5.3 Flash               3.85                0.02061   high
144  Kimi Allegro †                         $99 · CN ¥699   Kimi K2.7 Code              4.704               0.02105   medium
145  Command Code GOAT                      USD 10          DeepSeek V4 Pro             0.4698              0.02129   medium
146  OpenCode Go                            USD 10          Hy4 Preview                 0.4436              0.02254   medium
147  Kimi Allegro †                         $99 · CN ¥699   Kimi K3                     4.353               0.02274   medium
148  GLM Coding Lite (v2 ¥49) Midpoint      CNY 49          GLM 5.3                     0.317               0.0228    high
149  OpenCode Go                            USD 10          GLM 5.3 Flash               0.4383              0.02282   medium
150  Ollama Pro                             USD 20          MiniMax M2.7                0.8677              0.02305   medium
151  Ollama Max                             USD 100         MiniMax M2.7                4.3384              0.02305   medium
152  GLM Coding Max (v2 ¥469) Peak          CNY 469         GLM 5.3                     2.963               0.02335   high
153  Command Code GOAT                      USD 10          Step 3.7 Flash              0.4226              0.02366   medium
154  Kimi Allegretto †                      $39 · CN ¥199   Kimi K2.7 Code              1.568               0.02487   medium
155  Step Plan Mini (¥49)                   CNY 49          Step 5 Preview              0.2872              0.02517   medium
